,name,salary,description,skills,company,address
87,Senior Data Scientist на графы (SberAI),,"Наша команда специализируется в создании передовых графовых решений и интеграции графовых подходов в большом количестве доменов и модальностей. Обязанности  Решение сложных задач на стыке технологий GenAI, LLM, GNN и не только Участие и лидирование в исследованиях и анализе текущих SOTA решений, быстрая проверка гипотез, прототипирование Обучение и инференс моделей широкого спектра, от классических методов до LLM Создание (мульти-) агентных систем на всех этапах, от формирования промптов до дообучения собственных мультимодальных агентов Написание и поддержка чистого рабочего кода  Требования  Отличные теоретические знания в классическом ML/DL, анализ данных, работа с базами данных, визуализация Опыт в академической практике, наличие опубликованных статей, знание академического английского языка Уверенное владение Python, а так же фреймворков и библиотек для ML/DL (PyTorch, PyTorch Geometric, pandas/polars, numpy, sklearn, scipy, xgboost/lightgbm/catboost, matplotlob, transformers, langchain, langgraph) Опыт работы в разных доменах, умение быстро включаться в задачи на новых доменах Опыт работы с графовыми нейронными сетями, теоретическое и практическое применение  Условия  Комфортный современный офис рядом с м. Кутузовская Гибридный формат работы Ежегодный пересмотр зарплаты. Годовая премия Корпоративный спортзал и зоны отдыха Более 400 образовательных программ СберУниверситета для профессионального и карьерного развития Программа адаптации и помощь руководителя на старте Расширенный ДМС, льготное страхование для семьи и корпоративная пенсионная программа Гибкий дисконт по ипотечному кредиту, равный 1/3 ключевой ставки ЦБ Бесплатная подписка СберПрайм+, скидки на продукты компаний-партнеров Вознаграждение за рекомендацию друзей в команду Сбера.",[],Сбер. Data Science,
88,Data Scientist Senior,,"В Центр портфельного риск-моделирования ищем коллегу. Вы будете работать в большой и организованной команде профессионалов и разрабатывать модели с существенным эффектом на PL Банка. Получите уникальный шанс погрузиться в розничные кредитные процессы и портфельное моделирование, стать профессионалом в этой области. Примете участие во взаимодействии с многими командами: инженеров данных, разработчиков, методологов и аналитиков. Обязанности  построение моделей для различных задач (Классический ML – Модели прогнозирования макроэкономики, резервов и метрик портфеля розничных кредитов + AI-агенты для автоматического мониторинга состояния портфеля) аналитика бизнес-процессов и постановка задачи на разработку модели совместно с заказчиком и коллегами выбор подходящих архитектур и модельных решений взаимодействие с DE при сборе данных мониторинг моделей в эксплуатации, анализ отклонений развитие и распространение экспертизы при внедрении модели (консультация по факторам/алгоритмам, постановка ТЗ на внедрение, аналитика). курирование стажёров  Требования  высшее образование в области технических/физико-математических наук (предпочтительно МФТИ, МГУ, НГУ, МИФИ, ВШЭ, ИТМО) знание математических основ классического машинного обучения и нейронных сетей знание алгоритмов и структур данных знание Python и библиотек анализа данных: PyTorch, HugginFace и Transformers знание SQL, опыт работы с базами данных понимание принципов устройства, обучения и оценки качества больших языковых моделей (LLM) опыт разработки моделей от 2х лет  Условия  комфортный современный офис рядом с м. Кутузовская офисный формат работы ежегодный пересмотр зарплаты, квартальная и годовая премия (премия указывается в зависимости от должности и системы премирования) корпоративный спортзал и зоны отдыха более 400 образовательных программ СберУниверситета для профессионального и карьерного развития программа адаптации и помощь руководителя на старте (для Junior позиций) расширенный ДМС, льготное страхование для семьи и корпоративная пенсионная программа ипотека выгоднее до 7% для каждого сотрудника бесплатная подписка СберПрайм+, скидки на продукты компаний-партнеров вознаграждение за рекомендацию друзей в команду Сбера.",[],Сбер. IT,
89,Data Scientist в команду вертикального поиска,,"Вам предстоит:  кастомизация моделей ранжирования (таргет, факторы ранжирования, размешивание); персонализация поисковой выдачи; разнообразие выдачи и апселлинг; генерация описания и фичей по фото айтема; поиск по продавцам и его интеграция в основную выдачу; предсказание сделок и учет пользовательского фидбека.  Мы ждем, что вы:  уверенно владеете классическим ML, умеете анализировать данные; имеете опыт в разработке на Python, понимаете основы параллельного программирования; имеете опыт реализации поискового ранжирования или рекомендаций, а также опыт внедрения наработок в продакшен; понимаете, что DS это не только про обучение моделей.  Будет здорово, если вы:  пишете на Go или любом другом строго типизированном языке; умеете работать с большими объемами данных; пользовались инструментами для ведения экспериментов: Weights & Biases, MLflow, DVC, etc.  Работа у нас - это:  возможность реализовать свои идеи в проекте с многомиллионной аудиторией; талантливая команда, готовая поддержать ваши инициативы; мощное железо, дополнительные мониторы и всё, что нужно для продуктивной работы; прозрачная система премий, достойная зарплата — размер обсудим на собеседовании; личный бюджет на обучение, который можно тратить на книги, курсы и конференции; забота о здоровье: с первого дня у вас будет ДМС со стоматологией, в офисе принимают терапевт и массажист; удалёнка и замечательный офис в двух минутах от метро «Белорусская»: панорамный вид на центр города, места для уединённой работы и зоны отдыха.",[],АВИТО ТЕХ: разработка,"Москва, Белорусская, Лесная улица, 7"
90,Data Scientist (Аналитик данных),,"Залог успеха CВОЙ — команда высококлассных экспертов. Мы ценим работу каждого и поддерживаем обмен опытом между подразделениями. Тебя будут окружать эксперты, с которыми ты с уверенностью сможешь бросить вызов самым нестандартным задачам.           Ищем «Data Scientist (Аналитика данных)» в проект ID Collect.     Чем предстоит заниматься:       Разрабатывать и поддерживать скоринговые модели оценки и переоценки покупок на основе статистического анализа.   Разрабатывать и поддерживать модели распознавания документов.   Разрабатывать и поддерживать решения в области речевой аналитики (NLP).   Разрабатывать и внедрять LLM‑решения для задач автоматизации.   Автоматизировать операционные процессы компании.   Внедрять алгоритмы нечёткого поиска.   Писать скрипты для снижения доли ручного труда в компании.   Проводить углублённый статистический анализ данных.   Проверять гипотезы.   Выявлять внутренние и внешние факторы, влияющие на взыскание задолженности.   Анализировать риск‑метрики.   Оценивать эффективность сборов.   Отслеживать уровень просрочки и иные ключевые показатели.   Взаимодействовать с командами разработки и аналитики.   Интегрировать модели в бизнес‑процессы компании.       Наши ожидания:       Высшее (специалитет, бакалавр) образование.   Опыт работы от 2-х лет в области анализа данных и машинного обучения (банки, фин-тех).   Глубокое понимание ML-алгоритмов и продвинутые знания Python, включая основные библиотеки для машинного обучения (например, Scikit-learn, TensorFlow, PyTorch).   Хорошие знания SQL (любой из диалектов), умение писать оптимизированные запросы.   Опыт работы с инструментами логирования экспериментов, кода, умение писать читабельный код в Python и его оптимизировать.   Опыт вывода моделей в Production.   Опыт написания базовых микросервисов, работы с большими данными и инструментариями для их анализа будет преимуществом.      Коммуникабельность, умение вести переговоры.   Уверенный пользователь ПК.       Мы предлагаем:       Профессиональное развитие – участие в разных проектах холдинга, создание новых направлений, влияние на бизнес-процессы и свободу в принятии решений.   Прокачку скиллов – решение нестандартных задач + карт-бланш на смелые идеи и возможность быстро видеть реальный результат.   Карьерный рост – ты будешь понимать, что нужно сделать для перехода на другой уровень.   Работу в динамике – каждый день новые вызовы, где рутина уступает место крутым кейсам.   Команду мечты – эксперты без бюрократии, открытый диалог с топ-менеджментом, основателями и идейными вдохновителями бизнеса.   Комфортный офис м.Шелепиха, ICity.   Высокий уровень дохода (оклад + премии), размер заработной платы обсуждается по итогам собеседования.   Более, чем привлекательный компенсационный пакет: программа ДМС, в которую входит стоматология и обслуживание в лучших клиниках города; корпоративное такси; 8 дополнительных дней к отпуску; обучение и участие в конференциях.",[],СВОЙ,"Москва, Тестовская, Тестовская, Шелепиха, Московский международный деловой центр Москва-Сити, бизнес-центр Айсити"
91,Middle NLP Data Scientist (команда ЕСЗК),,"Мы в Сбере развиваем ключевой внутренний продукт — единое автоматизированное рабочее место для сотрудников Единой Службы Заботы о Клиенте (ЕСЗК). Наша миссия — сделать работу клиентских менеджеров максимально эффективной и комфортной. Мы заменяем устаревшие разрозненные интерфейсы на современное решение, которое объединяет все банковские инструменты, автоматизирует рутину на базе GenAI и предоставляет контекстные подсказки через CoPilot. В команде предстоит погрузиться в процесс работы с обращениями и создать новые автономные этапы по работе с ними, сократив нагрузку и улучшив клиентский опыт. Обязанности  Отвечать за полный цикл создания решений на базе LLM и ML: работа с данными, подготовка датасетов, обучение/дообучение NLP моделей, оценка качества, вывод в ПРОМ и поддержка Поиск и проверка data-driven гипотез внутри процессов работы с обращениями клиентов Работа с командой бизнес-представителей, DS-разработчиками Участие в промышленном внедрении и сопровождении ML-решений: подготовка релизов, мониторинг технических и продуктовых метрик, участие в поиске и устранении инцидентов Оптимизация работы моделей для промышленного контура на CPU/GPU.  Требования  Опыт разработки на Python: pytorch, numpy, sklearn, pandas, библиотеки обработки текстовых данных Базовые инженерные навыки: git, окружения, воспроизводимость и т.д. Отличные теоретические знания базовых алгоритмов и структур данных, классического и нейросетевого NLP (в тч LLM) Опыт практической работы с LLM через API Опыт обучения/дообучения классических трансформеров Практический опыт построения и внедрения в ПРОД ML решений Опыт prompt-engineering Знание SQL.  Будет плюсом:  Опыт работы с библиотеками LangChain/LangGraph (или подобными) Опыт работы с агентскими системами Опыт обучения/дообучения LLM Опыт работы с распределенным обучением, глубокое знание GPU архитектуры Опыт постановки и проведения a/b тестов Опыт работы с Hadoop (HDFS, Hive), Spark.  Условия  Комфортный современный офис рядом с м. Кутузовская Формат работы - гибрид Ежегодный пересмотр зарплаты, годовая премия Корпоративный спортзал и зоны отдыха Более 400 образовательных программ СберУниверситета для профессионального и карьерного развития Расширенный ДМС, льготное страхование для семьи и корпоративная пенсионная программа Гибкий дисконт по ипотечному кредиту, равный 1/3 ключевой ставки ЦБ Бесплатная подписка СберПрайм+, скидки на продукты компаний-партнеров Вознаграждение за рекомендацию друзей в команду Сбера.",[],Сбер. Data Science,
92,Senior Data Scientist,,"Наша команда занимается улучшением процесса заключения как стандартных, так и сложно-структурированных инвестиционно-банковских сделок Департамента инвестиционной деятельности с применением искусственного интеллекта. Нашими заказчиками являются сотрудники различных подразделений и ролей в Департаменте инвестиционной деятельности. Первый этап отбора на эту вакансию – общение с AI-рекрутером. После отклика вам на почту придёт приглашение пройти первичное интервью с ГигаРекрутером в Telegram. Диалог займёт примерно 10 минут. Его задача – уточнить недостающие детали и ускорить рассмотрение вашей кандидатуры. ГигаРекрутер только начинает свой путь, поэтому просим относиться с пониманием. Ваш опыт и участие помогут сделать его удобным и полезным!Чем предстоит заниматься:  обзор современных мировых трендов в области искусственного интеллекта, прототипирование анализ возможностей для улучшения продуктов и процессов заказчика с применением искусственного интеллекта непосредственное участие в реализации проектов по внедрению искусственного интеллекта в процессы заказчика: анализ наличия и возможности применения имеющихся в контуре банка технологий разработка и внедрение решений с применением искусственного интеллекта разработка кода и оптимизация параметров используемых моделей взаимодействие с DE, интеграция моделей в вычислительный процесс развитие LLM для задач QA и Information Extraction реализация пайплайнов подготовки и нарезки данных, а также подбор промтов организация и автоматизация процесса разметки (от поиска данных до проверки качества crowdsource-разметкой) релизы новых моделей в среды исполнения для наших пользователей. Что для нас важно:  обязательно: оконченное высшее образование в ключевых ВУЗах: МГУ / МФТИ / РЭШ / ВШЭ / МИФИ / МГТУ им. Баумана, МАИ опыт работы в роли Data Scientist от 3 лет в проектах по разработке и / или модификации или внедрению ПО с использованием искусственного интеллекта отличное знание Python: PyTorch, Numpy Sklearn, Pandas, опыт работы с библиотеками Scipy, Matplotlib, Spark, Pyspark Hive.  NLP  понимание основных методов и алгоритмов Machine Learning, знание принципов работы нейросетевых моделей для обработки текста, опыт в ранжировании рекомендациях NLP-задачах алгоритмическая подготовка знание основных алгоритмов и структур данных опыт классической ML разработки одной или нескольких типов моделей: Text Classification, NER, QA ml Ops, Git Docker, MLFlow, DVC, ClearML, Airflow, опыт запуска NLP-проектов от разметки до ""прома"" хорошее знание алгоритмов и структур данных.  LLM  опыт работы с LLM Prompt Engineering, дообучение GPT-Like моделей, LLMOps, LangChain, LlamaIndex, опыт работы с Plugins для LLM пелание изучать новые подходы модели и технологии Продвинутый уровень в SQL.  Плюсом будет:  хороший профиль на GitHub участие в open-source проектах с LLM участие и положительные результаты хакатонов. Что мы предлагаем:  комфортный офис рядом с м. Ленинский проспект офисный формат работы ежегодный пересмотр зарплаты и годовая премия корпоративный спортзал и зоны отдыха уникальная система обучения Сбера для профессионального и карьерного развития расширенный ДМС и льготное страхование для семьи гибкий дисконт по ипотечному кредиту, равный 1/3 ключевой ставки ЦБ бесплатная подписка СберПрайм+, скидки на продукты компаний-партнеров вознаграждение за рекомендацию друзей в команду Сбера корпоративная пенсионная программа.",[],Сбер. Data Science,
93,Middle Data Scientist в команду моделирования розничного бизнеса,,"Обязанности:  участие в обсуждении и проработке постановки задачи с бизнес заказчиком; самостоятельная разработка риск моделей для сегмента ФЛ с фокусом на модели прогнозирования дохода (анализ качества данных, отбор признаков, обучение различных алгоритмов); проведение различных исследований, включая анализ внутренних и внешних источников данных; подготовка бизнес требований на витрины для разработки моделей, а также требований на внедрение модели в промышленную эксплуатацию; подготовка модельной документации; участие в согласовании разработанных моделей перед заказчиком, подготовка презентаций.  Требования:  опыт работы в банковском/финансовом/телеком/ритейл секторе от 2-х лет в роли аналитика/DS, понимание банковских бизнес-процессов, опыт в моделировании; уверенное владение Python, Spark; знание алгоритмов ML: деревьев решений и случайных лесов, регрессии, бустингов, кластеризации, временных рядов и нейросетей, опыт работы с текстовыми данными приветствуется. умение работать в условиях многозадачности, самостоятельность опыт написания ТЗ, БТ, проектной документации; наличие публикаций по ML/DL, опыт выступлений является преимуществом.","['Python', 'SQL', 'PySpark']","ПАО ВТБ, Подразделения Поддержки и Контроля","Москва, Деловой центр, Деловой центр, Деловой центр, Москва-Сити, Пресненская набережная, 10с1"
94,Data Scientist в команду Посуточно,,"Циан — публичная IT-компания, крупнейший в России сервис для поиска недвижимости, входит в мировой топ-10. Cian.ru — это большой и сложный продукт, в котором представлено несколько типов недвижимости и типов сделки, а также есть множество сервисов, информационных материалов и собственное медиа. Ежемесячная аудитория около 20 млн. человек. Растить число пользователей и решать их проблемы помогают уже больше 1300 человек. В Циан большая команда ML - DS, DE, своя MLOps-платформа. Команда разделена на продуктовые стримы. Мы формируем самодостаточные команды (разработчики, аналитики, ML-инженеры) для решения задач бизнес-направления. С процессами интеграции моделей в продакшн нам помогает команда MLOps-платформы. Мы ищем Data Scientist в команду Посуточно. Команда создаёт удобный и технологичный сервис для посуточной аренды жилья — прозрачный, быстрый и надежный как для гостей, так и для владельцев объектов.На данный момент количество объектов у нас измеряется сотнями тысяч, количество бронирований в день тысячами и мы постоянно растем. Наш стек:  Python (Numpy, SciPy, Pandas, sklearn, PyTorch, LightFM, RecFormer). Экосистема Hadoop (PySpark, Hive, Kafka) Airflow  Задачи:  Развитие алгоритмов ранжирования и рекомендаций для контента вертикали Посутка Построение и развитие моделей улучшения качества контента Исследование возможностей внедрения ML и AI в команде Вместе с продуктовым руководителем вертикали формировать планы и отвечать за результат работы ML моделей  Требования к кандидату:  Опыт работы от 3х лет Опыт доведения ML-моделей до продакшена и оценки влияния на бизнес от внедрения. Опыт построения ML-моделей для персонального ранжирования, рекомендаций и предсказания CTR. Опыт использования технологий для работы с большими данными и распределенными системами (Hadoop, Spark, S3). Знание ML-алгоритмов и применение их на практике. Владение Python и основными ML-фреймворками. Понимание различных моделей монетизации и механизмов управления ликвидности. Прикладной опыт и подтвержденные успехи в решении задач ранжирования и построения рекомендаций  Что мы предлагаем:   Удаленную работу с возможностью приходить в офис в Москве, Санкт-Петербурге и Новосибирске. В офисе – кухни, оборудованные всем необходимым, а также снеки, фрукты, кофе и чай, бесплатная авто и вело парковки;   Технический рост. У нас есть успешные примеры роста с точки зрения ML, а также инженерии (разработка, архитектура приложений и сервисов) : есть возможность консультироваться с командой и брать инициативу по реализации крупных и сложных проектов.   Рост и развитие: в первые месяцы у каждого сотрудника есть ментор, после появляется личный план развития и возможность прокачивать soft/ hard skills на практике, обучении, конференциях;   ДМС с первого рабочего дня (со стоматологией, госпитализацией, страховкой выезжающего за пределы нашей страны);   5 day off в год, помимо основного отпуска;   Кафетерий льгот;     Ждём тебя в команде!","['Python', 'SQL', 'Big Data', 'recsys', 'ML', 'DS']",Циан,"Москва, Преображенская площадь, Электрозаводская улица, 27с4"
95,Data Scientist в команду Авито Работы,,"О команде Авито Работа — лидер рынка в сегменте синих воротничков (рабочие специальности). Наша цель — развить качественный опыт для всех сегментов соискателей и стать площадкой №1 для поиска работы в России, чтобы каждый второй человек находил работу на Авито. Наша команда помогает решать задачи, стоящие перед Авито Работой, с помощью DS. Мы занимаемся поиском, рекомендациями, анализом коммуникаций пользователей, предсказанием атрибутов объявлений и многим другим. Мы ищем талантливого DS-инженера, который сделает рынок труда прозрачнее и безопаснее вместе с командой Авито Работы. Примеры будущих задач: — снижать траффик на «плохих» работодателей;— помогать улучшать монетизацию в Авито Работе; — бороться с недобросовестными работодателями, например, выявлять объявления с завышенной зарплатой, определять несоответствие описания и профессии, по звонкам и чатам отделять кадровые агентства от прямых работодателей; — проводить исследования и генерировать гипотезы, которые помогут повлиять на выручку и качество сервиса в вертикали Авито Работа; — участвовать в защите новых инициатив. Мы ждём, что вы: — имеете не менее трёх лет опыта создания и внедрения текстовых моделей в продакшн; — понимаете основы краудсорсинговой разметки; — пишете хороший, поддерживаемый, тестируемый и масштабируемый код на Python; — хорошо понимаете ML-алгоритмы (классические и основные архитектуры нейронных сетей); — владеете стеком: PyTorch, CatBoost, pandas, NumPy, SkLearn, Docker. Работа у нас — это: — возможность влиять на бизнес и развитие продукта; — интересные и разнообразные задачи: аналитики в Авито ищут точки роста бизнеса, изучают поведение пользователей, придумывают фреймворки и настраивают дашборды; — много качественных данных, мощная инфраструктура и инструменты, любое необходимое железо — всё готово для продуктивной работы; — талантливая команда, крутая аналитическая культура и сообщество профессионалов; — прозрачная система премий, достойная зарплата — размер обсудим на собеседовании; — личный бюджет на обучение, который можно тратить на книги, курсы и конференции; — забота о здоровье: с первого дня у вас будет ДМС со стоматологией, в офисе принимают терапевт и массажист; — удалёнка и замечательный офис в двух минутах от метро «Белорусская»: панорамный вид центр города, места для уединённой работы и зоны отдыха.",[],АВИТО ТЕХ: разработка,"Москва, Белорусская, Лесная улица, 7"
96,Chapter Lead в Wildberries Fintech/Банк,,"Направление работы:Наша команда отвечает за создание и развитие ML решений для кредитного скоринга, антифрода, динамического ценообразования и других ключевых продуктов Финтех и Банка. В команду ищем Руководителя MLE/DS, готового возглавить ML для нескольких направлений. Стань частью команды! Вам предстоит:  Найм и руководство командами ML юнитов: Лиды/MLE/Data Scientists (постановка задач, code review, развитие компетенций); Курирование RnD/разработки и внедрения ML моделей в продукты; Обеспечение качества ML-решений и рост ключевых метрик продукта; Формирование и приоритизация стратегического бэклога на 1+ года совместно с продуктом; Курирование процесса тестирования моделей, постановки на мониторинг и аналитики вокруг ML; Презентацию результатов бизнес стейкхолдерам; Развитие инфраструктуры для RnD ML моделей в роли заказчика;    Формат работы - гибридный/удаленный по договоренности с руководителем.   Вы нам подходите, если :   У Вас опыт 5+ лет в machine learning, из них 3+ года на руководящих позициях;   У Вас 2+ года в Финтех/Банках или E-com, опыт внедрения коммерческих ML проектов;   Умеете выстраивать коммуникации с бизнесом и техническими командами;   Умеете превращать бизнес задачу в бэклог ML, формировать стратегические цели;   Уверенно знаете и владеете практическим опытом применения классических ML алгоритмов и глубокого обучения;   Владеете экспертизой в одном/нескольких доменах: кредитные риски b2c/b2b, CRM, динамический прайсинг, страхование;   Обладаете навыками презентации и защиты решений перед заказчиком;   Обладаете техническими навыками, опыт построения и поддержки production-ML пайплайнов будет плюсом;","['руководство ML командами', 'Data Science', 'кредитные риски', 'CRM', 'Pricing', 'динамическое ценообразование', 'lead', 'монетизация', 'PD', 'LGD', 'uplift', 'Deep Learning', 'Machine Learning', 'AI']",RWB (Wildberries & Russ),
97,Data Scientist (NLP / LLM),,"R-Vision – разработчик надежных систем цифровизации и кибербезопасности. С 2011 года мы создаем технологии, которые помогают организациям эффективно противостоять киберугрозам, поддерживать надежность ИТ‑инфраструктуры и обеспечивать цифровую трансформацию.Наши решения используются в крупнейших банках, государственных организациях, нефтегазовой отрасли, медиа, энергетике, металлургии, промышленности и в других сегментах бизнеса.Мы постоянно развиваем существующие продукты, разрабатываем новые сервисы и тщательно сопровождаем процесс интеграции наших решений в инфраструктуру клиентов. Благодаря командной работе и вкладу каждого сотрудника, нам удается достигать значимых результатов. Задачи:  Развитие LLM: Дообучение (Fine-tuning, PEFT/LoRA) открытых языковых моделей под специфику терминологии домена кибербеза NLP и извлечение сущностей (NER): Построение пайплайнов для анализа неструктурированных отчетов (Threat Intelligence отчеты и т.п.), парсинга фишинговых писем и автоматического извлечения индикаторов компрометации (IoC) и техник злоумышленников (TTPs) Разработка AI-агентов: Создание автономных агентов и мультиагентных систем для помощи в расследовании инцидентов ИБ Построение RAG-систем: Проектирование и улучшение архитектуры Retrieval-Augmented Generation (включая семантический чанкинг) для умного поиска по корпоративным базам знаний, логам, инцидентам, регламентам Классическое машинное обучение: Классификация сущностей (инцидентов, ПО, активов)  Ожидаем от тебя:   Уверенное владение Python (Pandas, NumPy) и фреймворками Deep Learning (PyTorch)   Глубокое понимание архитектуры Transformer   Опыт решения задач NLP (NER, классификация текстов, извлечение связей) с использованием BERT-подобных моделей или LLM   Работа с векторными БД   Опыт полного цикла дообучения языковых моделей   Хорошая математическая база и знание классических ML-алгоритмов   Профильное образование в сфере Data Sciense (Искусственный интеллект/ Машинное обучение)   Будет плюсом:   Понимание предметной области информационной безопасности   Проектирование и реализация AI-агентов   Мы предлагаем:  Работу в гибридном формате в комфортабельном офисе класса «А» в двух шагах от ст. м. Римская/Площадь Ильича; Достойную оплату труда, соответствующую профессиональному уровню и компетенциям; Статус аккредитованной ИТ-компании со всеми преимуществами; ДМС со стоматологией и госпитализацией по всей России, страхование от несчастного случая, полис ВЗР для поездок за границу, ветеринарная поддержка; 100% компенсацию больничного, +10 дополнительных дней в году на отгул по болезни; Регулярный обмен обратной связью по системе полугодового Performance Review; Возможности для обучения и профессионального развития: корпоративную библиотеку, менторство, внутренние митапы по обмену опытом, практику публичных выступлений, возможность участвовать в создании контента для профессиональных сообществ; Программу корпоративных скидок и привилегий; Развитую корпоративную культуру: открытую коммуникацию, онлайн и офлайн встречи, клубы по интересам, спортивные активности и поддержку инициатив сотрудников.  Несмотря на быстрый рост, мы основательно подходим к подбору специалистов, поэтому нам удалось собрать профессиональную и сплоченную команду. Присоединяйся к нам!",[],ООО Р-Вижн,"Москва, Площадь Ильича, Римская, Серп и Молот, бульвар Энтузиастов, 2"
